Benchmark,time,Nexps,objective,operating time ratio of the reactors,scheduling mode,Nreactors,operating time ratio of the analyzers,condition,random_seed,Nanalyzers
A1,519.7537875,105,0.423491077,0.599395164,ARIA-PI,12,0.448930511,"[[110.0, 20.342521022239403, 4.175, 'e']]",8313,6
A1,390.7129579,67,0.423241844,0.578942811,ARIA-PI,12,0.418039203,"[[110.0, 21.172098753270227, 4.175, 'e']]",9494,6
A1,369.8683781,71,0.422226411,0.506049511,ARIA-PI,12,0.432586318,"[[110.0, 17.516018602137034, 4.175, 'e']]",6444,6
A1,641.0755607,113,0.423496708,0.665567706,ARIA-PI,12,0.384770036,"[[110.0, 20.305613458571155, 4.175, 'e']]",5427,6
A1,448.9766158,92,0.423061981,0.612567075,ARIA-PI,12,0.45288179,"[[110.0, 18.440037192251317, 4.175, 'e']]",7140,6
A1,331.9136984,70,0.423484408,0.731506293,ARIA-PI,12,0.472010247,"[[110.0, 20.382753011723032, 4.175, 'e']]",4889,6
A1,333.9083624,58,0.423436077,0.432205994,ARIA-PI,12,0.409293932,"[[110.0, 20.609508367391253, 4.175, 'e']]",247,6
A1,413.6580259,99,0.423467717,0.68680417,ARIA-PI,12,0.539898465,"[[110.0, 19.38069737780158, 4.175, 'e']]",9311,6
A1,495.988958,108,0.423524854,0.663206745,ARIA-PI,12,0.430117102,"[[110.0, 19.966116212931126, 4.175, 'e']]",7453,6
A1,432.447599,89,0.422924814,0.676613261,ARIA-PI,12,0.447067653,"[[110.0, 18.245881251083304, 4.175, 'e']]",4054,6
A1,398.4986958,81,0.423079937,0.721622442,ARIA-PI,12,0.460060059,"[[110.0, 21.505606150526376, 4.175, 'e']]",742,6
A1,479.8483392,96,0.42189927,0.647342662,ARIA-PI,12,0.465424833,"[[110.0, 23.092767250492965, 4.175, 'e']]",4945,6
A1,441.4034161,99,0.423524818,0.716593883,ARIA-PI,12,0.483306938,"[[110.0, 19.866164695142675, 4.175, 'e']]",9623,6
A1,455.9794198,80,0.423089252,0.731552274,ARIA-PI,12,0.40206493,"[[110.0, 21.488107737664414, 4.175, 'e']]",5966,6
A1,375.2000147,66,0.423335391,0.573228093,ARIA-PI,12,0.408670915,"[[110.0, 20.93721667326979, 4.175, 'e']]",3130,6
A1,554.7959007,89,0.422937709,0.628714277,ARIA-PI,12,0.390534008,"[[110.0, 21.754962003520784, 4.175, 'e']]",6574,6
A1,505.2664502,99,0.422613908,0.66082971,ARIA-PI,12,0.474996905,"[[110.0, 22.237934484774573, 4.175, 'e']]",9297,6
A1,535.0315134,97,0.423525321,0.646818601,ARIA-PI,12,0.398730407,"[[110.0, 19.916226721244545, 4.175, 'e']]",6622,6
A1,446.3949187,78,0.421569617,0.734469203,ARIA-PI,12,0.410697626,"[[110.0, 23.432866740750427, 4.175, 'e']]",5710,6
A1,315.2070562,77,0.419796989,0.663703878,ARIA-PI,12,0.49702779,"[[105.51775455474854, 25.360999800372035, 4.175, 'e']]",9452,6
A1,464.538715,97,0.423524375,0.774083125,ARIA-PI,12,0.45923693,"[[110.0, 19.986840472729014, 4.175, 'e']]",8451,6
A1,503.777146,107,0.423446612,0.629610644,ARIA-PI,12,0.463167762,"[[110.0, 20.566581845804876, 4.175, 'e']]",4203,6
A1,346.2249719,82,0.4233619,0.529535726,ARIA-PI,12,0.529520827,"[[110.0, 20.861236672841404, 4.175, 'e']]",7692,6
A1,489.3574653,90,0.423273719,0.686093716,ARIA-PI,12,0.456380763,"[[110.0, 18.815764012309376, 4.175, 'e']]",9181,6
A1,486.567915,78,0.423200433,0.705291237,ARIA-PI,12,0.390490195,"[[110.0, 18.67127663844352, 4.175, 'e']]",2103,6
A1,594.0792532,116,0.423519244,0.604366648,ARIA-PI,12,0.398375579,"[[110.0, 20.09488824983635, 4.175, 'e']]",8879,6
A1,414.8388951,81,0.423326141,0.582736057,ARIA-PI,12,0.361586153,"[[110.0, 20.962507447723684, 4.175, 'e']]",5459,6
A1,257.3563699,52,0.421004458,0.588766532,ARIA-PI,12,0.47923171,"[[110.0, 23.967955123983526, 4.175, 'e']]",1449,6
A1,329.3589622,50,0.423469701,0.554539262,ARIA-PI,12,0.53133517,"[[110.0, 19.389901484258488, 4.175, 'e']]",4313,4
A1,407.6191413,73,0.422793716,0.522566846,ARIA-PI,12,0.551985854,"[[110.0, 18.08205582009288, 4.175, 'e']]",2929,4
A1,565.6045458,102,0.423236966,0.616064733,ARIA-PI,12,0.636487105,"[[110.0, 21.18318422205801, 4.175, 'e']]",8313,4
A1,409.7326005,71,0.422001977,0.637593769,ARIA-PI,12,0.585747875,"[[110.0, 22.981219292130827, 4.175, 'e']]",9494,4
A1,372.3957156,70,0.422189236,0.514902861,ARIA-PI,12,0.617622573,"[[110.0, 22.769708573943543, 4.175, 'e']]",6444,4
A1,675.8326896,125,0.423519645,0.690598711,ARIA-PI,12,0.532676216,"[[110.0, 20.088843802293322, 4.175, 'e']]",5427,4
A1,417.2171205,85,0.423393811,0.615925775,ARIA-PI,12,0.671113399,"[[110.0, 19.113449751378308, 4.175, 'e']]",7140,4
A1,513.6881134,84,0.42339592,0.679318406,ARIA-PI,12,0.545077826,"[[110.0, 20.754525245839773, 4.175, 'e']]",4889,4
A1,393.1645707,66,0.422211592,0.448302913,ARIA-PI,12,0.572279439,"[[110.0, 17.503423262761288, 4.175, 'e']]",247,4
A1,422.8765575,73,0.423269954,0.544055315,ARIA-PI,12,0.626660417,"[[110.0, 21.105882907203526, 4.175, 'e']]",9311,4
