Benchmark,time,Nexps,objective,operating time ratio of the reactors,scheduling mode,Nreactors,operating time ratio of the analyzers,condition,random_seed,Ncombos
A1,677.566869,60,0.42322843,0.633771494,ARIA-PI,6,0.693658473,"[[110.0, 21.202517737327963, 4.175, 'e']]",4054,2
A1,589.2104295,64,0.42340708,0.544110463,ARIA-PI,6,0.814649531,"[[110.0, 20.71680194166484, 4.175, 'e']]",742,2
A1,730.7789034,69,0.423081273,0.713607169,ARIA-PI,6,0.68420147,"[[110.0, 21.503063556115116, 4.175, 'e']]",4945,2
A1,760.7587083,68,0.420147229,0.600134306,ARIA-PI,6,0.696672932,"[[110.0, 22.215382195400405, 4.064457777482181, 'e']]",9623,2
A1,605.3563119,58,0.421314766,0.660618756,ARIA-PI,6,0.710325459,"[[110.0, 16.852004415243638, 4.175, 'e']]",5966,2
A1,820.9948187,74,0.423464205,0.661978422,ARIA-PI,6,0.633377931,"[[110.0, 19.36486016203107, 4.175, 'e']]",3130,2
A1,689.327621,60,0.423161881,0.67716689,ARIA-PI,6,0.681823832,"[[109.54421043395996, 20.495437359760473, 4.175, 'e']]",6574,2
A1,854.7029477,73,0.422664523,0.706361673,ARIA-PI,6,0.655198396,"[[110.0, 17.93598125167312, 4.175, 'e']]",9297,2
A1,835.3383272,75,0.423525012,0.704545626,ARIA-PI,6,0.694329448,"[[110.0, 19.956880983690855, 4.175, 'e']]",6622,2
A1,684.170507,59,0.421184765,0.60704629,ARIA-PI,6,0.701579497,"[[107.69882202148438, 23.8951333495567, 4.175, 'e']]",5710,2
A1,632.4822827,56,0.423286019,0.62524156,ARIA-PI,6,0.679860941,"[[110.0, 21.066656464436125, 4.175, 'e']]",9452,2
A1,842.8367669,71,0.423392179,0.702552555,ARIA-PI,6,0.616964068,"[[110.0, 20.76686127467169, 4.175, 'e']]",8451,2
A1,767.5434439,71,0.422902334,0.704397783,ARIA-PI,6,0.703543238,"[[110.0, 21.81253323119811, 4.175, 'e']]",4203,2
A1,707.9195829,58,0.42249439,0.675897008,ARIA-PI,6,0.635665421,"[[110.0, 22.396628819480423, 4.175, 'e']]",7692,2
A1,716.2336808,59,0.423469684,0.633254046,ARIA-PI,6,0.712058109,"[[110.0, 20.461484378359874, 4.175, 'e']]",9181,2
A1,705.1059107,59,0.403013493,0.680472673,ARIA-PI,6,0.62401973,"[[110.0, 17.136955043059146, 4.175, 'c']]",2103,2
A1,765.2039372,63,0.423440112,0.563274863,ARIA-PI,6,0.653420579,"[[110.0, 20.593496527943977, 4.175, 'e']]",8879,2
A1,745.1305279,62,0.422738793,0.724522561,ARIA-PI,6,0.536818698,"[[110.0, 22.062292547098608, 4.175, 'e']]",5459,2
A1,797.4880463,66,0.423507728,0.657408032,ARIA-PI,6,0.652047391,"[[110.0, 20.22092572618812, 4.175, 'e']]",1449,2
A1,329.3589622,50,0.423469701,0.554539262,ARIA-PI,12,0.53133517,"[[110.0, 19.389901484258488, 4.175, 'e']]",4313,4
A1,407.6191413,73,0.422793716,0.522566846,ARIA-PI,12,0.551985854,"[[110.0, 18.08205582009288, 4.175, 'e']]",2929,4
A1,565.6045458,102,0.423236966,0.616064733,ARIA-PI,12,0.636487105,"[[110.0, 21.18318422205801, 4.175, 'e']]",8313,4
A1,409.7326005,71,0.422001977,0.637593769,ARIA-PI,12,0.585747875,"[[110.0, 22.981219292130827, 4.175, 'e']]",9494,4
A1,372.3957156,70,0.422189236,0.514902861,ARIA-PI,12,0.617622573,"[[110.0, 22.769708573943543, 4.175, 'e']]",6444,4
A1,675.8326896,125,0.423519645,0.690598711,ARIA-PI,12,0.532676216,"[[110.0, 20.088843802293322, 4.175, 'e']]",5427,4
A1,417.2171205,85,0.423393811,0.615925775,ARIA-PI,12,0.671113399,"[[110.0, 19.113449751378308, 4.175, 'e']]",7140,4
A1,513.6881134,84,0.42339592,0.679318406,ARIA-PI,12,0.545077826,"[[110.0, 20.754525245839773, 4.175, 'e']]",4889,4
A1,393.1645707,66,0.422211592,0.448302913,ARIA-PI,12,0.572279439,"[[110.0, 17.503423262761288, 4.175, 'e']]",247,4
A1,422.8765575,73,0.423269954,0.544055315,ARIA-PI,12,0.626660417,"[[110.0, 21.105882907203526, 4.175, 'e']]",9311,4
A1,522.4615637,107,0.42300956,0.600880254,ARIA-PI,12,0.574204919,"[[110.0, 18.362545449878535, 4.175, 'e']]",7453,4
A1,385.5418488,74,0.423376817,0.628305282,ARIA-PI,12,0.700313081,"[[110.0, 20.815941641751337, 4.175, 'e']]",4054,4
A1,513.6338834,105,0.423359932,0.659462488,ARIA-PI,12,0.574339057,"[[110.0, 20.867061022116623, 4.175, 'e']]",742,4
A1,541.8932859,99,0.423523788,0.691971885,ARIA-PI,12,0.599749081,"[[110.0, 20.006084272830403, 4.175, 'e']]",4945,4
A1,451.7735266,90,0.423518281,0.674259983,ARIA-PI,12,0.619779565,"[[110.0, 20.10863979649175, 4.175, 'e']]",9623,4
A1,526.2704323,82,0.42351787,0.652264464,ARIA-PI,12,0.560548307,"[[110.0, 19.722130269202747, 4.175, 'e']]",5966,4
A1,494.5035692,85,0.423511988,0.54353757,ARIA-PI,12,0.566224427,"[[110.0, 20.18132890811455, 4.175, 'e']]",3130,4
A1,583.3141783,96,0.423491893,0.631592414,ARIA-PI,12,0.608591413,"[[110.0, 20.33737758845541, 4.175, 'e']]",6574,4
A1,509.8985136,91,0.423496888,0.656515384,ARIA-PI,12,0.666799355,"[[110.0, 19.53838384226866, 4.175, 'e']]",9297,4
A1,312.9959099,65,0.419177453,0.623965696,ARIA-PI,12,0.734833884,"[[110.0, 15.771435460874018, 4.175, 'e']]",6622,4
A1,500.6620551,94,0.422978435,0.750697402,ARIA-PI,12,0.649140467,"[[110.0, 21.686513996250095, 4.175, 'e']]",5710,4
A1,477.0913912,87,0.423000805,0.633214005,ARIA-PI,12,0.597369823,"[[110.0, 21.64816034124474, 4.175, 'e']]",9452,4
A1,414.3550674,82,0.423469199,0.690473263,ARIA-PI,12,0.63954811,"[[110.0, 19.387529203019348, 4.175, 'e']]",8451,4
A1,425.6507538,95,0.423494409,0.631274939,ARIA-PI,12,0.622576132,"[[110.0, 20.321031923462737, 4.175, 'e']]",4203,4
A1,571.7093295,110,0.423173102,0.681149247,ARIA-PI,12,0.594707804,"[[110.0, 18.621924770697838, 4.175, 'e']]",7692,4
A1,564.8943387,91,0.423519888,0.616687734,ARIA-PI,12,0.513370342,"[[110.0, 19.750489053537404, 4.175, 'e']]",9181,4
A1,449.8102834,88,0.423399175,0.659342153,ARIA-PI,12,0.578021467,"[[110.0, 19.129522422119198, 4.175, 'e']]",2103,4
A1,415.8223587,109,0.423317501,0.639623257,ARIA-PI,12,0.613242637,"[[110.0, 20.985747735611774, 4.175, 'e']]",8879,4
A1,452.3072211,75,0.422341073,0.543886796,ARIA-PI,12,0.574830531,"[[109.41113948822021, 22.52527662563392, 4.175, 'e']]",5459,4
A1,406.1484382,81,0.421111169,0.623799533,ARIA-PI,12,0.627849269,"[[107.08259105682373, 21.70313142783826, 4.175, 'e']]",1449,4
