Benchmark,analysis time,time,Nexps,Nreactors,TCT,operating time ratio of the analyzers,operating time ratio of the reactors,scheduling mode
A1,3 min,243.3927272,44,12,0.477782283,0.817468029,0.477782283,ARIA-PI
A1,3 min,316.3118666,67,12,0.582583953,0.226992869,0.582583953,ARIA-PI
A1,3 min,358.8980679,89,12,0.605601194,-0.323972053,0.605601194,ARIA-PI
A1,3 min,302.2061774,76,12,0.740053084,0.017659079,0.740053084,ARIA-PI
A1,3 min,285.9379338,68,12,0.757115595,0.218408513,0.757115595,ARIA-PI
A1,3 min,452.9291415,98,12,0.739481425,-0.588393918,0.739481425,ARIA-PI
A1,3 min,277.5204947,70,12,0.791582165,0.174581129,0.791582165,ARIA-PI
A1,3 min,342.1806166,80,12,0.577153958,-0.09893604,0.577153958,ARIA-PI
A1,3 min,308.4059889,60,12,0.807105518,0.399424528,0.807105518,ARIA-PI
A1,3 min,408.2878736,68,12,0.619872316,0.156079825,0.619872316,ARIA-PI
A1,3 min,381.0302455,86,12,0.807743383,-0.263073625,0.807743383,ARIA-PI
A1,3 min,450.8968914,100,12,0.780613465,-0.635474107,0.780613465,ARIA-PI
A1,3 min,209.5454476,62,12,0.735774771,0.401671543,0.735774771,ARIA-PI
A1,3 min,415.5789803,89,12,0.790429822,-0.352846991,0.790429822,ARIA-PI
A1,3 min,251.462399,68,12,0.734955942,0.235971373,0.734955942,ARIA-PI
A1,3 min,272.4766522,56,12,0.583549155,0.513958952,0.583549155,ARIA-PI
A1,3 min,308.4448162,74,12,0.63232078,0.062596408,0.63232078,ARIA-PI
A1,3 min,178.0469312,64,12,0.730622021,0.369602344,0.730622021,ARIA-PI
A1,3 min,395.8285294,70,12,0.591229345,0.114311507,0.591229345,ARIA-PI
A1,3 min,370.5831016,73,12,0.622528073,0.054999061,0.622528073,ARIA-PI
A1,3 min,476.5492982,97,12,0.662774684,-0.576368988,0.662774684,ARIA-PI
A1,3 min,269.0784665,58,12,0.653718757,0.467574612,0.653718757,ARIA-PI
A1,3 min,330.0969983,75,12,0.63541651,0.027508406,0.63541651,ARIA-PI
A1,10 min,755.897154,66,5,0.741255787,0.067840363,0.741255787,ARIA-PI
A1,10 min,741.7815176,56,5,0.760947294,0.315526892,0.760947294,ARIA-PI
A1,10 min,696.1709402,59,5,0.724668667,0.263591004,0.724668667,ARIA-PI
A1,10 min,926.3885934,73,5,0.753849114,-0.177620634,0.753849114,ARIA-PI
A1,10 min,760.2691543,55,5,0.717579609,0.331364977,0.717579609,ARIA-PI
A1,10 min,554.6872081,46,5,0.632099046,0.640844565,0.632099046,ARIA-PI
A1,10 min,615.929019,50,5,0.717222963,0.516819209,0.717222963,ARIA-PI
A1,10 min,791.9290983,56,5,0.710427879,0.293021146,0.710427879,ARIA-PI
A1,10 min,873.5145986,65,5,0.753010077,0.039189956,0.753010077,ARIA-PI
A1,10 min,640.6120865,50,5,0.696047668,0.505741689,0.696047668,ARIA-PI
A1,10 min,819.9202104,62,5,0.743867541,0.135648066,0.743867541,ARIA-PI
A1,10 min,940.7786683,69,5,0.740489481,-0.087538132,0.740489481,ARIA-PI
A1,10 min,783.8052868,61,5,0.736483651,0.175991249,0.736483651,ARIA-PI
A1,10 min,721.6282484,55,5,0.656749835,0.34870664,0.656749835,ARIA-PI
A1,10 min,798.6314186,58,5,0.675203543,0.241742896,0.675203543,ARIA-PI
A1,10 min,805.2832351,66,5,0.782652066,0.04567637,0.782652066,ARIA-PI
A1,10 min,728.5335547,52,5,0.724360083,0.418013076,0.724360083,ARIA-PI
A1,10 min,778.3069846,56,5,0.766775872,0.299134618,0.766775872,ARIA-PI
A1,10 min,549.4453585,47,5,0.741510573,0.619061899,0.741510573,ARIA-PI
A1,10 min,832.6922392,61,5,0.716771058,0.154051261,0.716771058,ARIA-PI
A1,10 min,611.8989413,42,5,0.583953559,0.711709124,0.583953559,ARIA-PI
A1,10 min,831.4495029,60,5,0.756331743,0.178744145,0.756331743,ARIA-PI
A1,10 min,600.7478663,47,5,0.673010542,0.596037833,0.673010542,ARIA-PI
A1,10 min,905.9858082,61,5,0.735635895,0.12115782,0.735635895,ARIA-PI
A1,10 min,725.6243361,53,5,0.774668242,0.395183548,0.774668242,ARIA-PI
A1,10 min,722.0054789,53,5,0.728011701,0.396807656,0.728011701,ARIA-PI
A1,10 min,739.5869913,56,5,0.737143818,0.316511774,0.737143818,ARIA-PI
A1,10 min,768.8135214,56,5,0.767724194,0.303395192,0.767724194,ARIA-PI
A1,10 min,823.0379758,66,5,0.712847019,0.037708216,0.712847019,ARIA-PI
A1,10 min,781.4991487,56,5,0.644382681,0.297702006,0.644382681,ARIA-PI
A1,10 min,1150.92515,38,2,0.787208241,0.566340037,0.787208241,ARIA-PI
A1,10 min,1253.73933,44,2,0.823817551,0.375387093,0.823817551,ARIA-PI
A1,10 min,1152.703958,37,2,0.81960166,0.589676882,0.81960166,ARIA-PI
A1,10 min,1330.906786,49,2,0.771573912,0.220079305,0.771573912,ARIA-PI
A1,10 min,1116.666642,44,2,0.800176096,0.43690398,0.800176096,ARIA-PI
A1,10 min,1307.5674,43,2,0.823421028,0.375364736,0.823421028,ARIA-PI
A1,10 min,1734.498871,52,2,0.840651034,-0.033454364,0.840651034,ARIA-PI
A1,10 min,1607.116208,46,2,0.847049661,0.168524676,0.847049661,ARIA-PI
A1,10 min,1211.160601,41,2,0.775250837,0.466901482,0.775250837,ARIA-PI
A1,10 min,1760.039525,59,2,0.81708345,-0.213862859,0.81708345,ARIA-PI
A1,10 min,1458.893836,48,2,0.812264257,0.18677512,0.812264257,ARIA-PI
A1,10 min,1229.79563,42,2,0.775944687,0.434403106,0.775944687,ARIA-PI
A1,10 min,1545.969917,54,2,0.821298535,0.002885281,0.821298535,ARIA-PI
A1,10 min,1406.973659,51,2,0.789605463,0.137670919,0.789605463,ARIA-PI
A1,10 min,885.1968659,32,2,0.698111269,0.830407245,0.698111269,ARIA-PI
A1,10 min,1500.627827,48,2,0.807912145,0.168045311,0.807912145,ARIA-PI
A1,10 min,1269.803885,43,2,0.822030964,0.392312634,0.822030964,ARIA-PI
A1,10 min,1806.227203,48,2,0.844768606,0.030895287,0.844768606,ARIA-PI
A1,10 min,1226.184661,45,2,0.787196033,0.363618203,0.787196033,ARIA-PI
A1,10 min,1423.713264,48,2,0.816652752,0.202563818,0.816652752,ARIA-PI
A1,10 min,1268.673847,40,2,0.846270372,0.465225254,0.846270372,ARIA-PI
A1,10 min,1424.037677,50,2,0.825058231,0.154147911,0.825058231,ARIA-PI
A1,10 min,1153.09494,39,2,0.779512218,0.541231099,0.779512218,ARIA-PI
A1,10 min,1687.931418,48,2,0.826454162,0.083985283,0.826454162,ARIA-PI
A1,10 min,1205.013718,41,2,0.807378796,0.469660143,0.807378796,ARIA-PI
A1,10 min,1724.23326,56,2,0.827762434,-0.125387885,0.827762434,ARIA-PI
A1,10 min,1145.88146,38,2,0.794956619,0.568603596,0.794956619,ARIA-PI
A1,10 min,1339.195477,49,2,0.781350392,0.216359421,0.781350392,ARIA-PI
A1,10 min,1205.774142,41,2,0.809100425,0.469318873,0.809100425,ARIA-PI
A1,10 min,1296.550295,42,2,0.796149383,0.404444262,0.796149383,ARIA-PI
A1,10 min,796.5574332,76,8,0.699704221,-0.191759144,0.699704221,ARIA-PI
A1,10 min,600.1056853,64,8,0.637531946,0.186028371,0.637531946,ARIA-PI
A1,10 min,604.7400105,70,8,0.646079373,0.039137589,0.646079373,ARIA-PI
A1,10 min,625.8722355,64,8,0.616459286,0.174464594,0.616459286,ARIA-PI
A1,10 min,454.717619,54,8,0.598632753,0.492628688,0.598632753,ARIA-PI
A1,10 min,414.3302315,51,8,0.521262201,0.583159625,0.521262201,ARIA-PI
A1,10 min,451.9130873,48,8,0.61548399,0.638698276,0.61548399,ARIA-PI
A1,10 min,521.8920312,63,8,0.623621997,0.245265054,0.623621997,ARIA-PI
A1,10 min,415.8854697,49,8,0.51288448,0.630731963,0.51288448,ARIA-PI
A1,10 min,688.850185,81,8,0.753358209,-0.264096964,0.753358209,ARIA-PI
A1,10 min,643.3320867,77,8,0.693235365,-0.147128257,0.693235365,ARIA-PI
A1,10 min,563.2624019,57,8,0.517164258,0.371509376,0.517164258,ARIA-PI
A1,10 min,640.6961708,67,8,0.695718431,0.095406285,0.695718431,ARIA-PI
A1,10 min,647.8015484,72,8,0.608255276,-0.028458323,0.608255276,ARIA-PI
A1,10 min,513.7330257,60,8,0.562559376,0.321332207,0.562559376,ARIA-PI
A1,10 min,480.5295169,62,8,0.657094822,0.287963305,0.657094822,ARIA-PI
A1,10 min,351.6697963,42,8,0.523224386,0.82849743,0.523224386,ARIA-PI
A1,10 min,624.5683426,72,8,0.677437028,-0.018031487,0.677437028,ARIA-PI
A1,10 min,516.7521627,63,8,0.648967594,0.247571777,0.648967594,ARIA-PI
A1,10 min,550.5703128,63,8,0.739880016,0.232394521,0.739880016,ARIA-PI
A1,10 min,483.7213643,62,8,0.584799175,0.286530835,0.584799175,ARIA-PI
A1,10 min,586.0200518,57,8,0.509394239,0.361295964,0.509394239,ARIA-PI
A1,10 min,260.1700561,33,8,0.503541037,1.086778035,0.503541037,ARIA-PI
A1,10 min,579.0664593,62,8,0.600650838,0.243740884,0.600650838,ARIA-PI
A1,10 min,806.2376103,92,8,0.630935873,-0.582266023,0.630935873,ARIA-PI
A1,10 min,499.3483766,51,8,0.567513502,0.545004309,0.567513502,ARIA-PI
A1,10 min,486.3949452,58,8,0.656775095,0.381871585,0.656775095,ARIA-PI
A1,10 min,510.4188795,57,8,0.512952608,0.395225034,0.512952608,ARIA-PI
A1,10 min,530.7014439,57,8,0.654853592,0.386122417,0.654853592,ARIA-PI
A1,10 min,625.7084356,73,8,0.609762953,-0.042678306,0.609762953,ARIA-PI
A1,10 min,329.0468253,43,12,0.530825018,0.814515243,0.530825018,ARIA-PI
A1,10 min,507.3396122,76,12,0.444506448,-0.061961001,0.444506448,ARIA-PI
A1,10 min,512.6053241,83,12,0.509156487,-0.2332703,0.509156487,ARIA-PI
A1,10 min,430.2892324,63,12,0.470870277,0.286375498,0.470870277,ARIA-PI
A1,10 min,512.2247542,69,12,0.443126009,0.104792693,0.443126009,ARIA-PI
A1,10 min,515.6873982,71,12,0.514377721,0.054968378,0.514377721,ARIA-PI
A1,10 min,440.7491607,63,12,0.442268745,0.281681184,0.442268745,ARIA-PI
A1,10 min,634.5540075,95,12,0.583970465,-0.577621564,0.583970465,ARIA-PI
A1,10 min,495.6510325,75,12,0.500772292,-0.032580124,0.500772292,ARIA-PI
A1,10 min,537.9646754,74,12,0.408711306,-0.027434918,0.408711306,ARIA-PI
A1,10 min,600.2865465,97,12,0.52576381,-0.610512975,0.52576381,ARIA-PI
A1,10 min,330.3588251,41,12,0.426020069,0.862196744,0.426020069,ARIA-PI
A1,10 min,458.9011607,65,12,0.504875513,0.22526443,0.504875513,ARIA-PI
A1,10 min,372.8605283,53,12,0.360194408,0.55350051,0.360194408,ARIA-PI
A1,10 min,481.3005518,90,12,0.539795603,-0.388167121,0.539795603,ARIA-PI
A1,10 min,630.8501822,95,12,0.617956206,-0.575959323,0.617956206,ARIA-PI
A1,10 min,450.9215299,59,12,0.431871134,0.373656552,0.431871134,ARIA-PI
A1,10 min,526.6923572,78,12,0.508282472,-0.118916639,0.508282472,ARIA-PI
A1,10 min,706.3098843,101,12,0.493540835,-0.754635844,0.493540835,ARIA-PI
A1,10 min,582.0138606,85,12,0.506286964,-0.312690489,0.506286964,ARIA-PI
A1,10 min,397.1224782,54,12,0.491358017,0.518476827,0.491358017,ARIA-PI
A1,10 min,468.782546,67,12,0.459542313,0.172559446,0.459542313,ARIA-PI
A1,10 min,379.6962072,54,12,0.404810872,0.526297567,0.404810872,ARIA-PI
A1,10 min,526.5016606,74,12,0.499178169,-0.022290428,0.499178169,ARIA-PI
A1,10 min,395.5875929,60,12,0.39789018,0.374354727,0.39789018,ARIA-PI
A1,10 min,372.9557422,51,12,0.368533609,0.601728093,0.368533609,ARIA-PI
A1,10 min,532.6795107,62,12,0.494451685,0.264558895,0.494451685,ARIA-PI
A1,10 min,390.0836339,67,12,0.538391374,0.207878752,0.538391374,ARIA-PI
A1,10 min,453.693181,69,12,0.487492659,0.131061093,0.487492659,ARIA-PI
A1,10 min,440.0367091,58,12,0.442622978,0.40267671,0.442622978,ARIA-PI
A1,20 min,991.6884855,56,5,0.528970098,0.346233798,0.528970098,ARIA-PI
A1,20 min,1199.239618,64,5,0.606634807,0.086233503,0.606634807,ARIA-PI
A1,20 min,896.2380186,49,5,0.465884514,0.542677476,0.465884514,ARIA-PI
A1,20 min,1144.851054,63,5,0.610146595,0.128986875,0.610146595,ARIA-PI
A1,20 min,1115.358202,61,5,0.453802895,0.185914339,0.453802895,ARIA-PI
A1,20 min,980.619822,59,5,0.482571333,0.28077923,0.482571333,ARIA-PI
A1,20 min,1040.390391,62,5,0.569596871,0.189789532,0.569596871,ARIA-PI
A1,20 min,1027.195414,53,5,0.608026513,0.402879205,0.608026513,ARIA-PI
A1,20 min,1092.327694,60,5,0.543192019,0.217364201,0.543192019,ARIA-PI
A1,20 min,992.8838782,48,5,0.494673708,0.530988085,0.494673708,ARIA-PI
A1,20 min,909.1319952,49,5,0.487677067,0.538029637,0.487677067,ARIA-PI
A1,20 min,1266.071022,71,5,0.599195119,-0.099893978,0.599195119,ARIA-PI
A1,20 min,1229.796889,65,5,0.546551703,0.0520705,0.546551703,ARIA-PI
A1,20 min,859.7780079,47,5,0.481425818,0.602116364,0.481425818,ARIA-PI
A1,20 min,980.4019985,51,5,0.535605776,0.466042933,0.535605776,ARIA-PI
A1,20 min,869.4426704,45,5,0.488486609,0.644928879,0.488486609,ARIA-PI
A1,20 min,1189.807613,62,5,0.547597121,0.135929715,0.547597121,ARIA-PI
A1,20 min,1006.469053,54,5,0.516115352,0.387202204,0.516115352,ARIA-PI
A1,20 min,1012.193298,54,5,0.494166544,0.385138809,0.494166544,ARIA-PI
A1,20 min,1133.37168,65,5,0.561716328,0.086828502,0.561716328,ARIA-PI
A1,20 min,1246.993458,72,5,0.532435199,-0.116165314,0.532435199,ARIA-PI
A1,20 min,1208.133045,69,5,0.611547288,-0.032713015,0.611547288,ARIA-PI
A1,20 min,868.9538901,49,5,0.505899723,0.552512475,0.505899723,ARIA-PI
A1,20 min,1144.706642,61,5,0.629361146,0.175335227,0.629361146,ARIA-PI
A1,20 min,1063.751009,57,5,0.59513291,0.297109566,0.59513291,ARIA-PI
A1,20 min,1023.903417,56,5,0.592049446,0.334621413,0.592049446,ARIA-PI
A1,20 min,1078.050916,58,5,0.586826705,0.268806789,0.586826705,ARIA-PI
A1,20 min,1129.695512,68,5,0.591122577,0.018709191,0.591122577,ARIA-PI
A1,20 min,996.1163277,54,5,0.510730017,0.390934009,0.510730017,ARIA-PI
A1,20 min,1008.845388,56,5,0.473244462,0.34004932,0.473244462,ARIA-PI
A1,20 min,1203.574291,83,8,0.510140772,-0.355143814,0.510140772,ARIA-PI
A1,20 min,918.2335649,55,8,0.433696204,0.395859942,0.433696204,ARIA-PI
A1,20 min,1038.488387,76,8,0.4458134,-0.133598934,0.4458134,ARIA-PI
A1,20 min,901.6371922,60,8,0.403263855,0.286101628,0.403263855,ARIA-PI
A1,20 min,1149.283084,78,8,0.419507845,-0.219832943,0.419507845,ARIA-PI
A1,20 min,738.1399573,50,8,0.312273276,0.576518292,0.312273276,ARIA-PI
A1,20 min,871.5319638,65,8,0.433439603,0.181212797,0.433439603,ARIA-PI
A1,20 min,1246.898425,92,8,0.413187268,-0.579094021,0.413187268,ARIA-PI
A1,20 min,1131.305981,74,8,0.407341589,-0.120760218,0.407341589,ARIA-PI
A1,20 min,867.1868065,65,8,0.457650111,0.182779078,0.457650111,ARIA-PI
A1,20 min,853.681571,64,8,0.402969153,0.210795403,0.402969153,ARIA-PI
A1,20 min,834.0382371,50,8,0.305639808,0.54195023,0.305639808,ARIA-PI
A1,20 min,862.4970648,62,8,0.442842413,0.253914014,0.442842413,ARIA-PI
A1,20 min,1045.780763,66,8,0.320615829,0.095253894,0.320615829,ARIA-PI
A1,20 min,863.7021923,57,8,0.334949465,0.369220348,0.334949465,ARIA-PI
A1,20 min,915.7830374,65,8,0.442460109,0.165261793,0.442460109,ARIA-PI
A1,20 min,828.1579416,60,8,0.35231352,0.312588394,0.35231352,ARIA-PI
A1,20 min,711.3788632,51,8,0.361128884,0.563016606,0.361128884,ARIA-PI
A1,20 min,1220.913232,77,8,0.388676822,-0.222505022,0.388676822,ARIA-PI
A1,20 min,1083.501877,77,8,0.506792367,-0.172972912,0.506792367,ARIA-PI
A1,20 min,845.3653493,61,8,0.313748983,0.283237562,0.313748983,ARIA-PI
