Benchmark,time,Nexps,objective,operating time ratio of the reactors,scheduling mode,Nreactors,operating time ratio of the analyzers,condition,random_seed,regret
C,47.6,48,0.986922,0.322580645,SRIA,6,0.705882353,"[['1d', '2a', 'L2', 'B3', 'S1']]",6444,0.013078
C,53.55,54,0.986922,0.319148936,SRIA,6,0.705882353,"[['1d', '2a', 'L2', 'B3', 'S1']]",5427,0.013078
C,41.65,42,0.991471,0.327102804,SRIA,6,0.705882353,"[['1d', '2b', 'L3', 'B3', 'S3']]",7140,0.008529
C,47.6,48,1,0.322580645,SRIA,6,0.705882353,"[['1d', '2b', 'L3', 'B3', 'S1'], ['1d', '2b', 'L5', 'B3', 'S1']]",4889,0
C,53.55,54,0.991471,0.319148936,SRIA,6,0.705882353,"[['1d', '2b', 'L3', 'B3', 'S3']]",247,0.008529
C,53.55,54,0.991471,0.319148936,SRIA,6,0.705882353,"[['1d', '2b', 'L3', 'B3', 'S3']]",9311,0.008529
C,59.5,60,0.986922,0.316455696,SRIA,6,0.705882353,"[['1d', '2a', 'L2', 'B3', 'S1']]",7453,0.013078
C,59.5,60,0.985294,0.316455696,SRIA,6,0.705882353,"[['1c', '2a', 'L2', 'B7', 'S3']]",4054,0.014706
C,83.3,84,0.986922,0.309734513,SRIA,6,0.705882353,"[['1d', '2a', 'L2', 'B3', 'S1']]",742,0.013078
C,59.5,60,0.991471,0.316455696,SRIA,6,0.705882353,"[['1d', '2b', 'L3', 'B3', 'S3']]",4945,0.008529
C,53.55,54,0.986922,0.319148936,SRIA,6,0.705882353,"[['1d', '2a', 'L2', 'B3', 'S1']]",9623,0.013078
C,53.55,54,1,0.319148936,SRIA,6,0.705882353,"[['1d', '2b', 'L7', 'B3', 'S1'], ['1d', '2b', 'L5', 'B3', 'S1'], ['1d', '2b', 'L3', 'B3', 'S1']]",5966,0
C,41.65,42,0.967468,0.327102804,SRIA,6,0.705882353,"[['1b', '2b', 'L1.0', 'B2', 'S2']]",3130,0.032532
C,41.65,42,0.949963,0.327102804,SRIA,6,0.705882353,"[['1c', '2b', 'L4', 'B4', 'S2']]",6574,0.050037
C,47.6,48,0.985294,0.322580645,SRIA,6,0.705882353,"[['1c', '2a', 'L2', 'B7', 'S3']]",9297,0.014706
C,53.55,54,0.982021,0.319148936,SRIA,6,0.705882353,"[['1d', '2a', 'L2', 'B3', 'S3']]",6622,0.017979
C,47.6,48,0.991471,0.322580645,SRIA,6,0.705882353,"[['1d', '2b', 'L3', 'B3', 'S3']]",5710,0.008529
C,41.65,42,1,0.327102804,SRIA,6,0.705882353,"[['1d', '2b', 'L7', 'B3', 'S1']]",9452,0
C,65.45,66,1,0.314285714,SRIA,6,0.705882353,"[['1d', '2b', 'L3', 'B3', 'S1'], ['1d', '2b', 'L7', 'B3', 'S1'], ['1d', '2b', 'L5', 'B3', 'S1']]",8451,0
C,47.6,48,1,0.322580645,SRIA,6,0.705882353,"[['1d', '2b', 'L3', 'B3', 'S1'], ['1d', '2b', 'L5', 'B3', 'S1'], ['1d', '2b', 'L7', 'B3', 'S1']]",4203,0
C,47.6,48,0.991471,0.322580645,SRIA,6,0.705882353,"[['1d', '2b', 'L3', 'B3', 'S3']]",7692,0.008529
C,53.55,54,0.991471,0.319148936,SRIA,6,0.705882353,"[['1d', '2b', 'L3', 'B3', 'S3']]",9181,0.008529
C,59.5,60,0.962966,0.316455696,SRIA,6,0.705882353,"[['1d', '2a', 'L4', 'B5', 'S1']]",2103,0.037034
C,53.55,54,0.985294,0.319148936,SRIA,6,0.705882353,"[['1c', '2a', 'L2', 'B7', 'S3']]",8879,0.014706
C,41.65,42,0.974247,0.327102804,SRIA,6,0.705882353,"[['1c', '2a', 'L2', 'B3', 'S3']]",5459,0.025753
C,71.4,72,0.986075,0.3125,SRIA,6,0.705882353,"[['1c', '2b', 'L6', 'B4', 'S3']]",1449,0.013925
C,34.3,40,0.984243,0.531914894,ARIA,4,0.816326531,"[['1d', '2b', 'L1.0', 'B3', 'S3']]",4313,0.015757
C,62.65,76,0.991471,0.542857143,ARIA,4,0.849162011,"[['1d', '2b', 'L3', 'B3', 'S3']]",2929,0.008529
C,37.45,44,0.986922,0.533980583,ARIA,4,0.822429907,"[['1d', '2a', 'L2', 'B3', 'S1']]",8313,0.013078
C,50.05,60,0.990462,0.539568345,ARIA,4,0.839160839,"[['1d', '2b', 'L3', 'B6', 'S3']]",9494,0.009538
C,78.4,96,0.986922,0.545454545,ARIA,4,0.857142857,"[['1d', '2a', 'L2', 'B3', 'S1']]",6444,0.013078
C,36.05,42,0.986922,0.53030303,ARIA,4,0.815533981,"[['1d', '2a', 'L2', 'B3', 'S1']]",5427,0.013078
C,34.3,40,0.986922,0.531914894,ARIA,4,0.816326531,"[['1d', '2a', 'L2', 'B3', 'S1']]",7140,0.013078
C,36.05,42,1,0.53030303,ARIA,4,0.815533981,"[['1d', '2b', 'L3', 'B3', 'S1']]",4889,0
C,37.45,44,1,0.533980583,ARIA,4,0.822429907,"[['1d', '2b', 'L7', 'B3', 'S1'], ['1d', '2b', 'L3', 'B3', 'S1'], ['1d', '2b', 'L5', 'B3', 'S1']]",247,0
C,43.75,52,0.991471,0.537190083,ARIA,4,0.832,"[['1d', '2b', 'L3', 'B3', 'S3']]",9311,0.008529
C,64.4,78,1,0.541666667,ARIA,4,0.847826087,"[['1d', '2b', 'L3', 'B3', 'S1']]",7453,0
C,34.3,40,0.991471,0.531914894,ARIA,4,0.816326531,"[['1d', '2b', 'L3', 'B3', 'S3']]",4054,0.008529
C,34.3,40,0.985294,0.531914894,ARIA,4,0.816326531,"[['1c', '2a', 'L2', 'B7', 'S3']]",742,0.014706
C,42.35,50,0.986922,0.534188034,ARIA,4,0.826446281,"[['1d', '2a', 'L2', 'B3', 'S1']]",4945,0.013078
C,43.75,52,0.986922,0.537190083,ARIA,4,0.832,"[['1d', '2a', 'L2', 'B3', 'S1']]",9623,0.013078
C,42.35,50,1,0.534188034,ARIA,4,0.826446281,"[['1d', '2b', 'L3', 'B3', 'S1'], ['1d', '2b', 'L7', 'B3', 'S1']]",5966,0
C,48.65,58,0.991470993,0.537037037,ARIA,4,0.834532374,[],3130,0.008529007
C,37.45,44,0.984243,0.533980583,ARIA,4,0.822429907,"[['1d', '2b', 'L1.0', 'B3', 'S3']]",6574,0.015757
C,34.3,40,0.952867,0.531914894,ARIA,4,0.816326531,"[['1c', '2b', 'L4', 'B7', 'S2']]",9297,0.047133
C,34.3,40,0.986922,0.531914894,ARIA,4,0.816326531,"[['1d', '2a', 'L2', 'B3', 'S1']]",6622,0.013078
C,34.3,40,0.968863,0.531914894,ARIA,4,0.816326531,"[['1b', '2a', 'L6', 'B7', 'S2']]",5710,0.031137
C,39.2,46,1,0.532407407,ARIA,4,0.821428571,"[['1d', '2b', 'L5', 'B3', 'S1'], ['1d', '2b', 'L3', 'B3', 'S1'], ['1d', '2b', 'L7', 'B3', 'S1']]",9452,0
C,36.05,42,1,0.53030303,ARIA,4,0.815533981,"[['1d', '2b', 'L3', 'B3', 'S1'], ['1d', '2b', 'L7', 'B3', 'S1']]",8451,0
C,34.3,40,0.974549,0.531914894,ARIA,4,0.816326531,"[['1c', '2a', 'L2', 'B2', 'S3']]",4203,0.025451
C,43.75,52,0.985294,0.537190083,ARIA,4,0.832,"[['1c', '2a', 'L2', 'B7', 'S3']]",7692,0.014706
C,43.75,52,0.986922,0.537190083,ARIA,4,0.832,"[['1d', '2a', 'L2', 'B3', 'S1']]",9181,0.013078
C,48.65,58,0.985294,0.537037037,ARIA,4,0.834532374,"[['1c', '2a', 'L2', 'B7', 'S3']]",2103,0.014706
C,34.3,40,0.985294,0.531914894,ARIA,4,0.816326531,"[['1c', '2a', 'L2', 'B7', 'S3']]",8879,0.014706
C,43.75,52,0.986922,0.537190083,ARIA,4,0.832,"[['1d', '2a', 'L2', 'B3', 'S1']]",5459,0.013078
C,34.3,40,1,0.531914894,ARIA,4,0.816326531,"[['1d', '2b', 'L7', 'B3', 'S1'], ['1d', '2b', 'L3', 'B3', 'S1'], ['1d', '2b', 'L5', 'B3', 'S1']]",1449,0
C,37.1,48,0.982021,0.404040404,ARIA,6,0.905660377,"[['1d', '2a', 'L2', 'B3', 'S3']]",4313,0.017979
C,60.9,82,0.986922,0.409181637,ARIA,6,0.942528736,"[['1d', '2a', 'L2', 'B3', 'S1']]",2929,0.013078
C,45.5,60,1,0.406504065,ARIA,6,0.923076923,"[['1d', '2b', 'L3', 'B3', 'S1']]",8313,0
C,60.9,82,1,0.409181637,ARIA,6,0.942528736,"[['1d', '2b', 'L3', 'B3', 'S1']]",9494,0
C,42.7,56,0.986922,0.405797101,ARIA,6,0.918032787,"[['1d', '2a', 'L2', 'B3', 'S1']]",6444,0.013078
C,32.9,42,0.986922,0.402298851,ARIA,6,0.893617021,"[['1d', '2a', 'L2', 'B3', 'S1']]",5427,0.013078
C,34.3,44,0.991471,0.402930403,ARIA,6,0.897959184,"[['1d', '2b', 'L3', 'B3', 'S3']]",7140,0.008529
C,42.7,56,1,0.405797101,ARIA,6,0.918032787,"[['1d', '2b', 'L3', 'B3', 'S1']]",4889,0
C,32.9,42,0.991471,0.402298851,ARIA,6,0.893617021,"[['1d', '2b', 'L3', 'B3', 'S3']]",247,0.008529
C,39.9,52,1,0.404984424,ARIA,6,0.912280702,"[['1d', '2b', 'L7', 'B3', 'S1'], ['1d', '2b', 'L3', 'B3', 'S1'], ['1d', '2b', 'L5', 'B3', 'S1']]",9311,0
C,32.9,42,1,0.402298851,ARIA,6,0.893617021,"[['1d', '2b', 'L5', 'B3', 'S1'], ['1d', '2b', 'L3', 'B3', 'S1'], ['1d', '2b', 'L7', 'B3', 'S1']]",7453,0
C,52.5,70,0.991471,0.407925408,ARIA,6,0.933333333,"[['1d', '2b', 'L3', 'B3', 'S3']]",4054,0.008529
C,37.1,48,0.967008,0.404040404,ARIA,6,0.905660377,"[['1c', '2a', 'L2', 'B8', 'S1']]",742,0.032992
C,52.5,70,0.986075,0.407925408,ARIA,6,0.933333333,"[['1c', '2b', 'L6', 'B4', 'S3']]",4945,0.013925
C,44.1,58,0.985294,0.406162465,ARIA,6,0.920634921,"[['1c', '2a', 'L2', 'B7', 'S3']]",9623,0.014706
C,49.7,66,0.991471,0.407407407,ARIA,6,0.929577465,"[['1d', '2b', 'L3', 'B3', 'S3']]",5966,0.008529
C,49.7,66,0.978637,0.407407407,ARIA,6,0.929577465,"[['1b', '2a', 'L6', 'B1', 'S2']]",3130,0.021363
C,32.9,42,0.952867,0.402298851,ARIA,6,0.893617021,"[['1c', '2b', 'L4', 'B7', 'S2']]",6574,0.047133
C,32.9,42,0.985294,0.402298851,ARIA,6,0.893617021,"[['1c', '2a', 'L2', 'B7', 'S3']]",9297,0.014706
C,41.3,54,0.974247,0.405405405,ARIA,6,0.915254237,"[['1c', '2a', 'L2', 'B3', 'S3']]",6622,0.025753
C,37.1,48,1,0.404040404,ARIA,6,0.905660377,"[['1d', '2b', 'L3', 'B3', 'S1']]",5710,0
C,34.3,44,0.969708,0.402930403,ARIA,6,0.897959184,"[['1d', '2b', 'L6', 'B3', 'S4']]",9452,0.030292
C,59.5,80,1,0.408997955,ARIA,6,0.941176471,"[['1d', '2b', 'L7', 'B3', 'S1'], ['1d', '2b', 'L3', 'B3', 'S1'], ['1d', '2b', 'L5', 'B3', 'S1']]",8451,0
C,35.7,46,1,0.403508772,ARIA,6,0.901960784,"[['1d', '2b', 'L3', 'B3', 'S1'], ['1d', '2b', 'L7', 'B3', 'S1']]",4203,0
C,51.1,68,1,0.407673861,ARIA,6,0.931506849,"[['1d', '2b', 'L3', 'B3', 'S1']]",7692,0
C,44.1,58,0.991471,0.406162465,ARIA,6,0.920634921,"[['1d', '2b', 'L3', 'B3', 'S3']]",9181,0.008529
C,38.5,50,0.936745,0.404530744,ARIA,6,0.909090909,"[['1a', '2a', 'L9', 'B8', 'S3']]",2103,0.063255
C,69.3,94,0.985294,0.410122164,ARIA,6,0.949494949,"[['1c', '2a', 'L2', 'B7', 'S3']]",8879,0.014706
C,32.9,42,0.961623,0.402298851,ARIA,6,0.893617021,"[['1c', '2b', 'L2', 'B7', 'S2']]",5459,0.038377
C,32.9,42,0.960523,0.402298851,ARIA,6,0.893617021,"[['1b', '2a', 'L6', 'B2', 'S3']]",1449,0.039477
