Benchmark	time	Nexps	objective	operating time ratio of the reactors	scheduling mode	Nreactors	operating time ratio of the analyzers	condition	random_seed	regret
A1	1052.951968	43	0.423441356	0.484901054	SRBA-PI	5	0.351393047	"[[110.0, 19.27178774269656, 4.175, 'e']]"	6622	8.46E-05
A1	750.3388176	37	0.423411135	0.360903368	SRBA-PI	5	0.439801317	"[[110.0, 20.70253647007264, 4.175, 'e']]"	5710	0.000114865
A1	1091.648562	45	0.422247392	0.429497177	SRBA-PI	5	0.384739205	"[[108.7352180480957, 22.34892022572732, 4.175, 'e']]"	9452	0.001278608
A1	816.679666	32	0.421995171	0.364144699	SRBA-PI	5	0.355096389	"[[109.12943363189697, 22.985726874553322, 4.175, 'e']]"	8451	0.001530829
A1	1152.654874	50	0.423495582	0.453375048	SRBA-PI	5	0.373051821	"[[110.0, 20.313263379347095, 4.175, 'e']]"	4203	3.04E-05
A1	1106.198274	42	0.422417939	0.472492446	SRBA-PI	5	0.352558858	"[[108.95503997802734, 22.14578645813434, 4.175, 'e']]"	7692	0.001108061
A1	1191.336412	48	0.423159279	0.429049027	SRBA-PI	5	0.352545256	"[[110.0, 18.597828040793996, 4.175, 'e']]"	9181	0.000366721
A1	952.8617123	40	0.423375997	0.33817036	SRBA-PI	5	0.398798687	"[[110.0, 19.062129873858858, 4.175, 'e']]"	2103	0.000150003
A1	853.8922006	32	0.423438126	0.406747868	SRBA-PI	5	0.351332404	"[[110.0, 20.60134396930683, 4.175, 'e']]"	8879	8.79E-05
A1	928.2120363	35	0.423003039	0.350485294	SRBA-PI	5	0.355522216	"[[110.0, 18.35323454792793, 4.175, 'e']]"	5459	0.000522961
A1	845.810159	40	0.423215487	0.422153992	SRBA-PI	5	0.437450409	"[[110.0, 21.231335471374965, 4.175, 'e']]"	1449	0.000310513
A1	1706.422578	56	0.423508834	0.816351339	ARIA	2	0.328171935	"[[110.0, 19.627907761828016, 4.175, 'e']]"	4313	1.72E-05
A1	1070.166871	39	0.423507072	0.80820441	ARIA	2	0.364429147	"[[110.0, 20.22650606827746, 4.175, 'e']]"	2929	1.89E-05
A1	1426.017358	44	0.423519819	0.793440072	ARIA	2	0.308551644	"[[110.0, 20.086175117728654, 4.175, 'e']]"	8313	6.18E-06
A1	1232.415457	46	0.423515074	0.760129793	ARIA	2	0.373250755	"[[110.0, 20.148481129326843, 4.175, 'e']]"	9494	1.09E-05
A1	1453.114482	50	0.423503352	0.819216027	ARIA	2	0.344088512	"[[110.0, 19.583832426206502, 4.175, 'e']]"	6444	2.26E-05
A1	1351.252977	46	0.423524595	0.824069818	ARIA	2	0.340424782	"[[110.0, 19.978282495413715, 4.175, 'e']]"	5427	1.41E-06
A1	1495.569004	46	0.423503616	0.836824554	ARIA	2	0.307575243	"[[110.0, 20.25493403991896, 4.175, 'e']]"	7140	2.24E-05
A1	1563.873843	44	0.423493086	0.839978051	ARIA	2	0.281352618	"[[110.0, 20.32972277155433, 4.175, 'e']]"	4889	3.29E-05
A1	1297.33011	45	0.423525161	0.798484673	ARIA	2	0.346866227	"[[110.0, 19.88831780122886, 4.175, 'e']]"	247	8.39E-07
A1	1619.441115	53	0.423524008	0.808791768	ARIA	2	0.3272734	"[[110.0, 19.99934189545433, 4.175, 'e']]"	9311	1.99E-06
A1	1925.445297	59	0.423524747	0.822506152	ARIA	2	0.306422624	"[[110.0, 19.97134802589461, 4.175, 'e']]"	7453	1.25E-06
A1	1471.660658	46	0.423422672	0.807625941	ARIA	2	0.312572058	"[[110.0, 20.660934595627577, 4.175, 'e']]"	4054	0.000103328
A1	1470.386383	52	0.423452368	0.81441578	ARIA	2	0.353648542	"[[110.0, 19.314772437513838, 4.175, 'e']]"	742	7.36E-05
A1	1488.48802	52	0.423466388	0.820120447	ARIA	2	0.34934779	"[[110.0, 20.477666187902354, 4.175, 'e']]"	4945	5.96E-05
A1	1598.591156	52	0.423524664	0.825922413	ARIA	2	0.325286424	"[[110.0, 19.975202191718417, 4.175, 'e']]"	9623	1.34E-06
A1	1754.300086	55	0.423522782	0.821176789	ARIA	2	0.313515347	"[[110.0, 19.80284815195129, 4.175, 'e']]"	5966	3.22E-06
A1	1447.794745	50	0.423523782	0.804041145	ARIA	2	0.345352821	"[[110.0, 20.006262746100216, 4.175, 'e']]"	3130	2.22E-06
A1	2142.812254	58	0.423510641	0.851736859	ARIA	2	0.270672337	"[[110.0, 19.64411512890393, 4.175, 'e']]"	6574	1.54E-05
A1	1303.100314	44	0.423437597	0.813572864	ARIA	2	0.337656277	"[[110.0, 19.257675480903295, 4.175, 'e']]"	9297	8.84E-05
A1	1229.872637	42	0.423525215	0.799992516	ARIA	2	0.341498776	"[[110.0, 19.893616597558506, 4.175, 'e']]"	6622	7.85E-07
A1	1434.110707	46	0.42352456	0.837601507	ARIA	2	0.320756269	"[[110.0, 19.854474061399834, 4.175, 'e']]"	5710	1.44E-06
A1	1429.294961	49	0.423525035	0.808514783	ARIA	2	0.342826368	"[[110.0, 19.87857972433099, 4.175, 'e']]"	9452	9.65E-07
A1	1410.621322	48	0.423491287	0.823019924	ARIA	2	0.340275588	"[[110.0, 19.50320022244076, 4.175, 'e']]"	8451	3.47E-05
A1	1709.797738	58	0.423417462	0.823653753	ARIA	2	0.33922141	"[[110.0, 19.18750998491197, 4.175, 'e']]"	4203	0.000108538
A1	1403.049598	49	0.423521879	0.809702482	ARIA	2	0.349239258	"[[110.0, 19.784314385590445, 4.175, 'e']]"	7692	4.12E-06
A1	1424.084678	45	0.423525129	0.832977354	ARIA	2	0.315992446	"[[110.0, 19.948344047863277, 4.175, 'e']]"	9181	8.71E-07
A1	1826.756126	55	0.42352532	0.81169473	ARIA	2	0.301080145	"[[110.0, 19.919055988998778, 4.175, 'e']]"	2103	6.80E-07
A1	1450.755386	50	0.423494786	0.777819517	ARIA	2	0.34464804	"[[110.0, 20.31860707153191, 4.175, 'e']]"	8879	3.12E-05
A1	1402.466655	47	0.423478097	0.804901061	ARIA	2	0.335123832	"[[110.0, 20.417977832655406, 4.175, 'e']]"	5459	4.79E-05
A1	1506.163489	47	0.423522671	0.791566813	ARIA	2	0.312051118	"[[110.0, 20.034176324725635, 4.175, 'e']]"	1449	3.33E-06
A1	1720.478516	46	0.423524087	0.658331272	SRIA-PI	2	0.267367477	"[[110.0, 19.996900540420988, 4.175, 'e']]"	4313	1.91E-06
A1	1141.79076	36	0.420761586	0.616011224	SRIA-PI	2	0.315294196	"[[110.0, 24.183515913284996, 4.175, 'e']]"	2929	0.002764414
A1	1206.024204	37	0.423099428	0.695619928	SRIA-PI	2	0.298501472	"[[110.0, 18.49837941815643, 4.175, 'e']]"	8313	0.000426572
